initialRegeneration,time,"If(Ko+Detected>0 || Rej>0,1,0)"
Ok Clock @ error|0 w|0,348,2.112431965
Ok Clock @ error|0 w|0,349,2.112838766
Ok Clock @ error|0 w|0,350,2.113250917
Ok Clock @ error|0 w|0,351,2.113669222
Ok Clock @ error|0 w|0,352,2.114094382
Ok Clock @ error|0 w|0,353,2.114527108
Ok Clock @ error|0 w|0,354,2.114968073
Ok Clock @ error|0 w|0,355,2.115417879
Ok Clock @ error|0 w|0,356,2.115877054
Ok Clock @ error|0 w|0,357,2.116346050
Ok Clock @ error|0 w|0,358,2.116825249
Ok Clock @ error|0 w|0,359,2.117314968
Ok Clock @ error|0 w|0,360,2.117815469
Ok Clock @ error|0 w|0,361,2.118326969
Ok Clock @ error|0 w|0,362,2.118849657
Ok Clock @ error|0 w|0,363,2.119383703
Ok Clock @ error|0 w|0,364,2.119929273
Ok Clock @ error|0 w|0,365,2.120486528
Ok Clock @ error|0 w|0,366,2.140753938
Ok Clock @ error|0 w|0,367,2.188370156
Ok Clock @ error|0 w|0,368,2.380663998
Ok Clock @ error|0 w|0,369,2.699279196
Ok Clock @ error|0 w|0,370,2.871441462
Ok Clock @ error|0 w|0,371,2.891581627
Ok Clock @ error|0 w|0,372,2.893749182
Ok Clock @ error|0 w|0,373,2.894211059
Ok Clock @ error|0 w|0,374,2.894645973
Ok Clock @ error|0 w|0,375,2.895056628
Ok Clock @ error|0 w|0,376,2.895446950
Ok Clock @ error|0 w|0,377,2.895821500
Ok Clock @ error|0 w|0,378,2.915333225
Ok Clock @ error|0 w|0,379,2.961465950
Ok Clock @ error|0 w|0,380,3.002483530
Ok Clock @ error|0 w|0,381,3.020527315
Ok Clock @ error|0 w|0,382,3.025023811
Ok Clock @ error|0 w|0,383,3.025881847
Ok Clock @ error|0 w|0,384,3.026226291
Ok Clock @ error|0 w|0,385,3.026523633
Ok Clock @ error|0 w|0,386,3.026811409
Ok Clock @ error|0 w|0,387,3.027093515
Ok Clock @ error|0 w|0,388,3.027371828
Ok Clock @ error|0 w|0,389,3.027648013
Ok Clock @ error|0 w|0,390,3.027923621
Ok Clock @ error|0 w|0,391,3.028200028
Ok Clock @ error|0 w|0,392,3.028478408
Ok Clock @ error|0 w|0,393,3.028759732
Ok Clock @ error|0 w|0,394,3.029044780
Ok Clock @ error|0 w|0,395,3.029334162
Ok Clock @ error|0 w|0,396,3.029628342
Ok Clock @ error|0 w|0,397,3.029927662
Ok Clock @ error|0 w|0,398,3.030232377
Ok Clock @ error|0 w|0,399,3.034671186
Ok Clock @ error|0 w|0,400,3.046447420
Ok Clock @ error|0 w|0,401,3.059497964
Ok Clock @ error|0 w|0,402,3.067384194
Ok Clock @ error|0 w|0,403,3.074569525
Ok Clock @ error|0 w|0,404,3.087089008
Ok Clock @ error|0 w|0,405,3.100385542
Ok Clock @ error|0 w|0,406,3.108376192
Ok Clock @ error|0 w|0,407,3.111415157
Ok Clock @ error|0 w|0,408,3.112335185
Ok Clock @ error|0 w|0,409,3.112739036
Ok Clock @ error|0 w|0,410,3.113068513
Ok Clock @ error|0 w|0,411,3.113392005
Ok Clock @ error|0 w|0,412,3.113715927
Ok Clock @ error|0 w|0,413,3.114041441
Ok Clock @ error|0 w|0,414,3.114369547
Ok Clock @ error|0 w|0,415,3.114701193
Ok Clock @ error|0 w|0,416,3.115037228
Ok Clock @ error|0 w|0,417,3.115378380
Ok Clock @ error|0 w|0,418,3.115725256
Ok Clock @ error|0 w|0,419,3.116078356
Ok Clock @ error|0 w|0,420,3.116438085
Ok Clock @ error|0 w|0,421,3.116804774
Ok Clock @ error|0 w|0,422,3.117178697
Ok Clock @ error|0 w|0,423,3.117560084
Ok Clock @ error|0 w|0,424,3.117949137
Ok Clock @ error|0 w|0,425,3.118346042
Ok Clock @ error|0 w|0,426,3.118750980
Ok Clock @ error|0 w|0,427,3.119164129
Ok Clock @ error|0 w|0,428,3.128818994
Ok Clock @ error|0 w|0,429,3.151295435
Ok Clock @ error|0 w|0,430,3.171268245
Ok Clock @ error|0 w|0,431,3.180141067
Ok Clock @ error|0 w|0,432,3.182506943
Ok Clock @ error|0 w|0,433,3.183176780
Ok Clock @ error|0 w|0,434,3.183636351
Ok Clock @ error|0 w|0,435,3.184088993
Ok Clock @ error|0 w|0,436,3.202858791
Ok Clock @ error|0 w|0,437,3.247551612
Ok Clock @ error|0 w|0,438,3.288123193
Ok Clock @ error|0 w|0,439,3.306811459
Ok Clock @ error|0 w|0,440,3.311994645
Ok Clock @ error|0 w|0,441,3.313219752
Ok Clock @ error|0 w|0,442,3.313758196
Ok Clock @ error|0 w|0,443,3.314206097
Ok Clock @ error|0 w|0,444,3.314640508
Ok Clock @ error|0 w|0,445,3.315071957
Ok Clock @ error|0 w|0,446,3.315502946
Ok Clock @ error|0 w|0,447,3.315935152
Ok Clock @ error|0 w|0,448,3.316370105
Ok Clock @ error|0 w|0,449,3.316809168
Ok Clock @ error|0 w|0,450,3.317253507
Ok Clock @ error|0 w|0,451,3.317704093
Ok Clock @ error|0 w|0,452,3.318161719
Ok Clock @ error|0 w|0,453,3.318627012
Ok Clock @ error|0 w|0,454,3.319100458
Ok Clock @ error|0 w|0,455,3.319582425
Ok Clock @ error|0 w|0,456,3.320073193
Ok Clock @ error|0 w|0,457,3.321847146
Ok Clock @ error|0 w|0,458,3.325893066
Ok Clock @ error|0 w|0,459,3.330339873
Ok Clock @ error|0 w|0,460,3.333200591
Ok Clock @ error|0 w|0,461,3.342303607
Ok Clock @ error|0 w|0,462,3.364515843
Ok Clock @ error|0 w|0,463,3.433408358
Ok Clock @ error|0 w|0,464,3.547625854
Ok Clock @ error|0 w|0,465,3.629647139
Ok Clock @ error|0 w|0,466,3.656498852
Ok Clock @ error|0 w|0,467,3.661309889
Ok Clock @ error|0 w|0,468,3.662180125
Ok Clock @ error|0 w|0,469,3.662667919
Ok Clock @ error|0 w|0,470,3.663120560
Ok Clock @ error|0 w|0,471,3.663557825
